一	one		floor, ceiling	yī	0001	1				一		one; 1; single; a(n)
二	two			èr	0002	2				二		two; 2
三	three			sān	0003	3				三		three; 3
四	four			sì	0004	5				四		four; 4
五	five			wǔ	0005	4				五		five; 5
六	six			liù	0006	4				六		six; 6
七	seven		"diced, i.e. ""cut"" into little pieces"	qī	0007	2				七		seven; 7
八	eight			bā	0008	2				八		eight; 8
九	nine		baseball	jiǔ	0009	2				九		nine; 9
十	ten		ten, needle	shí	0010	2				十		ten; 10
口	Mouth		mouth	kǒu	0011	3				口		mouth; entrance, gate
日	Day		sun, day, tongue wagging in the mouth	rì	0012	4				日		day, daytime; sun; Japan (abbrev.)
月	Month		moon, flesh, part of body	yuè	0013	4				月		moon; month
田	Rice Field		rice field, brains	tián	0014	5				田		field; farm; rice paddy
目	Eye		eye, eyeball; 罒net	mù	0015	5				 目		eye; to look, see
古	ancient			gǔ	0016	5				古		ancient, old; paleo—
胡	recklessly			hú	0017	9	ancient flesh			胡		recklessly, foolishly, wildly; ALSO: whiskers, moustache
吾	I&nbsp;&nbsp;[literary]			wú	0018	7	There are a number of characters for the word <b>I</b>, but this one is restricted to literary use in Chinese. We need a sufficiently stuffy connotation for the key word, for which the sense of a &quot;perceiving subject&quot; should do just fine. Now the one place in our bodies that all <i>five</i> senses are concentrated in is the head, which has no less than <i>five</i> <i>mouths</i>: 2 nostrils, 2 ears, and 1 mouth. Hence, <i>five mouths</i> = <b>I</b>. [7]			吾		I; my; our (ie: royal &quot;we&quot;)
朋	Companion			péng	0019	8	"The first <b>companion</b> that God made, as the Bible story goes, was Eve. Upon seeing her, Adam is said to have exclaimed, ""<i>Flesh</i> of my <i>flesh</i>"" And that is precisely what this character says in so many strokes. [8]"			朋		friend, pal, acquaintance
明	bright			míng	0020	8	Among nature's <b>bright</b> lights, there are two that the biblical story of creation has God set in the sky: the <i>sun</i> to rule over the day and the <i>moon</i> to rule the night. Each of them has come to represent one of the common connotations of this key word: the sun, the <b>bright</b> insight of the clear thinker, and the moon, the <b>bright</b> intuition of the poet and the seer. [8]		(1368-1644 :major system: Dam+Shiva - a DJ+Aurora)	明		bright, clear; to understand (明白; míngbái); ALSO: the Ming dynasty
唱	to sing			chàng	0021	11	This one is easy! You have one <i>mouth</i> making no noise (the choirmaster) and two <i>mouths with wagging tongues</i> (the minimum for a chorus). So when you hear the key word <b>sing</b>, think of the Vienna Boys' Choir or the Mormon Tabernacle Choir and the character is yours forever (see frame 12). [11]			唱		to sing; to chant
晶	sparkling			jīng	0022	12	"What else can the word <b>sparkling</b> suggest if not a diamond? And if you've ever held a diamond up to the light, you will have noticed how every facet of it becomes like a miniature <i>sun</i>. This character is a picture of a tiny <i>sun</i> in three places (that is, ""everywhere""), to give the sense of something <b>sparkling</b> all over the place. Just like a diamond. In writing the primitive elements three times, note again how the rule for writing given in frame 4 holds true not only for the strokes in each individual element but also for the disposition of the elements in the character as a whole. [12]"	(not <i>shining</i>)		晶		crystal, sparkling, bright, radiant
品	Goods			pǐn	0023	9	"As in the character for <i>sparkling</i>, the triplication of a single element in this character indicates ""everywhere"" or ""heaps of."" When we think of <b>goods</b> in modern industrial society, we think of what has been mass-produced―that is to say, produced for the ""masses"" of open <i>mouths</i> waiting like fledglings in a nest to ""consume"" whatever comes their way. [9]"			品		article, product, commodity
昌	prosperous			chāng	0024	8	What we mentioned in the previous two frames about three of something meaning &quot;everywhere&quot; or &quot;heaps of&quot; was not meant to be taken lightly. In this character we see two <i>suns</i>, one atop the other, which, if we are not careful, is easily confused in memory with the three <i>suns</i> of <i>sparkling</i>. Focus on the number this way: since we speak of <b>prosperous</b> times as <i>sunny</i>, what could be more prosperous than a sky with two <i>suns</i> in it? Just be sure to actually see them there. [8]			昌		prosperous; flourishing
早	early		As a primitive element, this character takes the meaning of <i>sunflower</i>, which was used to make the abstract key word <i>early</i> more graphic.	zǎo	0025	6	This character is actually a picture of the first flower of the day, which we shall, in defiance of botanical science, call the <i>sun</i>-flower, since it begins with the element for <i>sun</i> and is held up on a stem with leaves (the pictographic representation of the final two strokes). This time, however, we shall ignore the pictograph and imagine <i>sun</i>flowers with <i>needles</i> for stems, which can be plucked and used to darn your socks. The sense of <b>early</b> is easily remembered if one thinks of the <i>sun</i>flower as the <b>early</b> riser in the garden, because the <i>sun</i>, showing favoritism towards its namesake, shines on it before all the others (see frame 10). [6]			早		early; morning; for a long time, as early as ...
旭	Rising Sun			xù	0026	6	The key word here immediately suggests the islands located to the east of China, which would make it, from China's point of view, the Land of the <b>Rising Sun</b>, a name easily associated with Japan's national flag. If you can picture two seams running down that great red <i>sun</i>, and then imagine it sitting on a <i>baseball</i> bat for a flagpole, you have a slightly irreverent―but not altogether inaccurate―picture of how the sport has caught on in the Land of the <b>Rising Sun</b>. [6]			旭		dawn; the rising sun
世	Generation			shì	0027	5	"We generally consider one <b>generation</b> as a period of thirty (or <i>ten</i> plus <i>ten</i> plus <i>ten</i>) years. If you look at this character in its completed form―not in its stroke order―you will see three <i>tens</i>. When writing it, think of the lower horizontal lines as ""addition"" lines written under numbers to add them up. Thus: <i>ten</i> ""plus"" <i>ten</i> ""plus"" <i>ten</i> = thirty. Actually, it's a lot easier doing it with a pencil than reading it in a book. [5]"			世		generation, age, era; lifetime
胃	Stomach			wèi	0028	9	"You will need to refer back to frames 13 and 14 here for the special meaning of the two primitive elements that make up this character: <i>brain</i> and <i>flesh (part of the body)</i>. What the character says, if you look at it, is that the <i>part of the body</i> that keeps the <i>brain</i> in working order is the <b>stomach</b>. To keep the elements in proper order, when you write this character think of the <i>brain</i> as being ""held up"" by the <i>flesh</i>. [9]"			胃		stomach, belly, paunch
旦	Daybreak			dàn	0029	5	The obvious sign of <b>daybreak</b> is the <i>sun</i> peeking out over the horizon, which is pretty much what this character depicts. If you can imagine the <i>sun</i> poking its head out through a hole in your <i>floor</i>, however, you will have an easier time remembering this character. [5]			旦		dawn, morning, day-break
凹	concave			āo	0030	5	You couldn't have asked for a better key word for this character! Just have a look at it: a perfect image of a concave lens (remembering, of course, that the characters square off rounded things), complete with its own little &quot;cave.&quot; Now all you have to do is learn how to write it. [5]			凹		concave, indented or depressed, sunken
凸	convex			tū [普], tú [國]	0031	5	Maybe this helps you see how the Chinese have no trouble keeping <b>convex</b> distinct from <i>concave</i>. Note the odd feeling of the fourth stroke. If it doesn't feel all that strange now, by the time you are done with this book, it will. There are very few times you will have to write it. [5]			凸		convex, protruding; bulge out
